total_rounds_played,balance,kills_total,deaths_total,assists_total,damage_total,current_equip_value,team_rounds_total,team_clan_name,tick,steamid,name
24,6900,20,12,9,2156,5800,12,3DMAX,210466,76561198031890115,Lucky
24,7650,15,18,4,1675,5050,12,3DMAX,210466,76561198179538505,Graviti
24,7600,18,17,4,2008,5100,12,Team Vitality,210466,76561197973140692,mezii
24,5550,20,15,5,2340,7150,12,Team Vitality,210466,76561198113666193,ZywOo
24,7300,7,20,5,1061,5400,12,3DMAX,210466,76561198047876970,Djoko
24,7600,12,19,2,1179,5100,12,Team Vitality,210466,76561197989744167,apEX
24,7600,17,16,5,2260,5100,12,Team Vitality,210466,76561197978835160,flameZ
24,5600,19,15,4,1875,6800,12,3DMAX,210466,76561198045739761,Maka
24,7600,14,15,3,1751,5100,12,Team Vitality,210466,76561197991272318,ropz
24,7250,21,16,6,2112,5450,12,3DMAX,210466,76561198168198200,Ex3rcice
25,6750,21,12,9,2240,5800,13,3DMAX,217521,76561198031890115,Lucky
25,9550,16,18,5,1771,5700,13,3DMAX,217521,76561198179538505,Graviti
25,4900,19,18,4,2114,5100,12,Team Vitality,217521,76561197973140692,mezii
25,2550,20,16,5,2340,5100,12,Team Vitality,217521,76561198113666193,ZywOo
25,9750,8,20,5,1161,5600,13,3DMAX,217521,76561198047876970,Djoko
25,4600,12,20,2,1204,5100,12,Team Vitality,217521,76561197989744167,apEX
25,4600,17,17,5,2260,5100,12,Team Vitality,217521,76561197978835160,flameZ
25,5650,19,16,4,1892,7950,13,3DMAX,217521,76561198045739761,Maka
25,4400,14,16,3,1751,5100,12,Team Vitality,217521,76561197991272318,ropz
25,10450,23,16,6,2315,5700,13,3DMAX,217521,76561198168198200,Ex3rcice
26,9600,23,12,9,2402,5900,14,3DMAX,224085,76561198031890115,Lucky
26,6500,16,19,7,1861,6100,14,3DMAX,224085,76561198179538505,Graviti
26,2400,19,19,4,2134,5100,12,Team Vitality,224085,76561197973140692,mezii
26,50,20,17,6,2394,5100,12,Team Vitality,224085,76561198113666193,ZywOo
26,8000,10,21,6,1396,5800,14,3DMAX,224085,76561198047876970,Djoko
26,1600,12,21,2,1231,5400,12,Team Vitality,224085,76561197989744167,apEX
